2019-11-12 15:26:35.421 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-12 15:26:36.445 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-12 15:36:16.983 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-12 15:36:17.708 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-12'.

2019-11-12 15:54:40.019 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-12 15:54:41.977 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-12'.

2019-11-12 16:29:15.687 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-12 16:29:17.128 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-12'.

2019-11-12 17:16:56.157 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-12 17:16:57.472 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-12'.

